case,restaurant,price,food,decor,service,geo
1,Daniella Ristorante,43,22,18,20,west
2,Tello's Ristorante,32,20,19,19,west
3,Biricchino,34,21,13,18,west
4,Bottino,41,20,20,17,west
5,Da Umberto,54,24,19,21,west
6,Le Madri,52,22,22,21,west
7,Le Zie,34,22,16,21,west
8,Pasticcio,34,20,18,21,east
9,Belluno,39,22,19,22,east
10,Cinque Terre,44,21,17,19,east
11,Fino,45,19,17,20,east
12,Marchi's,47,21,19,21,east
13,Nicola Paone,52,21,19,20,east
14,Notaro,35,19,17,19,east
15,Rossini's,47,20,18,21,east
16,Trattoria Alba,37,21,19,21,east
17,Villa Berulia,45,22,18,23,east
18,Il Postino,57,24,21,22,east
19,Luna Blu,38,19,17,18,east
20,San Giusto,51,22,20,22,east
21,Grifone,54,23,20,23,east
22,Nanni's,51,23,17,21,east
23,Osteria Laguna,38,20,18,18,east
24,Bellini,49,22,21,21,east
25,Cellini,45,22,20,22,east
26,Anche Vivolo,37,19,17,19,east
27,Bruno Ristorante,50,22,19,22,east
28,Chianti,43,20,16,18,east
29,Da Antonio Ristorante,49,22,19,20,east
30,Harry Cipriani,65,21,20,20,east
31,La Gioconda,34,20,16,18,east
32,Bice,51,21,20,18,east
33,Coco Pazzo Cafe,49,20,19,19,east
34,DeGrezia,51,23,22,23,east
35,FELIDIA,62,25,22,23,east
36,Fresco by Scotto,50,23,21,21,east
37,Giambelli,51,21,18,20,east
38,Il Menestrello,52,22,19,22,east
39,Il Nido,57,24,20,23,east
40,Il Valentino,49,21,20,21,east
41,Luna Piena,33,19,17,18,east
42,Paper Moon Milano,43,19,17,17,east
43,Teodora,41,21,17,18,east
44,San Pietro,58,24,21,23,east
45,Bravo Gianni,56,22,17,21,east
46,Canaletto,44,22,17,21,east
47,Il Gatto & La Volpe,37,20,15,20,east
48,Il Valletto Due Mila,56,21,17,20,east
49,Scalinatella,58,24,18,21,east
50,Barbaresco,44,16,16,16,east
51,Da Filippo,46,20,18,20,east
52,East River Cafe,40,20,20,20,east
53,Fred's at Barneys NY,39,19,18,17,east
54,Il Vagabondo,36,17,14,17,east
55,Mediterraneo,34,18,15,16,east
56,Nello,54,18,16,15,east
57,Primola,51,23,17,20,east
58,Gino,41,20,14,19,east
59,Via Oreto,40,22,17,20,east
60,Bardolino,24,18,13,18,east
61,Campagnola,53,24,20,21,east
62,Cucina Vivolo,31,19,16,17,east
63,Grace's Trattoria,35,18,16,17,east
64,Lumi,49,20,19,19,east
65,Mezzaluna,38,19,15,17,east
66,Sette Mezzo,48,21,16,18,east
67,Vivolo,43,20,19,20,east
68,Zucchero e Pomodori,29,17,14,15,east
69,Baraonda,37,17,18,15,east
70,Coco Pazzo,55,22,21,20,east
71,Due,37,22,18,20,east
72,Il Monello,55,23,20,22,east
73,Lusardi's,49,24,20,22,east
74,Maruzzella,33,19,14,18,east
75,Nino's,52,23,20,22,east
76,Parma,47,22,16,21,east
77,Il Riccio,43,21,16,20,east
78,Andiamo,33,18,17,18,east
79,Caffe Grazie,38,18,16,19,east
80,Giovanni Venticinque,48,21,18,19,east
81,Girasole,50,21,18,21,east
